current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space
11184,4916,2,6268
11184,4912,2,6272
11184,4904,2,6280
11184,4900,2,6284
11184,4896,2,6288
11184,4892,2,6292
11184,4888,2,6296
11184,4884,2,6300
11184,4884,2,6300
11184,4876,2,6308
11184,4876,2,6308
11184,4872,2,6312
11184,4868,2,6316
11184,4864,2,6320
11184,4860,2,6324
11184,4856,2,6328
11184,4852,2,6332
11184,4848,2,6336
11184,4844,2,6340
11184,4840,2,6344
11184,4836,2,6348
11184,4832,2,6352
11184,4828,2,6356
11184,4824,2,6360
11184,4820,2,6364
11184,4816,2,6368
11184,4812,2,6372
11184,4808,2,6376
11184,4804,2,6380
11184,4800,2,6384
11184,4796,2,6388
11184,4596,2,6588
11184,4592,2,6592
11184,4588,2,6596
11184,4584,2,6600
11184,4580,2,6604
11184,4576,2,6608
11184,4572,2,6612
11184,4568,2,6616
11184,4564,2,6620
11184,4560,2,6624
11184,4556,2,6628
11184,4552,2,6632
11184,4548,2,6636
11184,4544,2,6640
11184,4540,2,6644
11184,4536,2,6648
11184,4532,2,6652
11184,4528,2,6656
11184,4524,2,6660
11184,4520,2,6664
11184,4516,2,6668
11184,4512,2,6672
11184,4504,2,6680
11184,4500,2,6684
11184,4496,2,6688
11184,4492,2,6692
11184,4488,2,6696
11184,4484,2,6700
11184,4480,2,6704
11184,4476,2,6708
11184,4472,2,6712
11184,4468,2,6716
11184,4464,2,6720
11184,4460,2,6724
11184,4456,2,6728
11184,4452,2,6732
11184,4448,2,6736
11184,4444,2,6740
11184,4440,2,6744
11184,4436,2,6748
11184,4432,2,6752
11184,4428,2,6756
11184,4420,2,6764
11184,4416,2,6768
11184,4412,2,6772
11184,4408,2,6776
11184,4404,2,6780
11184,4400,2,6784
11184,4396,2,6788
11184,4392,2,6792
11184,4388,2,6796
11184,4384,2,6800
11184,4380,2,6804
11184,4376,2,6808
11184,4372,2,6812
11184,4368,2,6816
11184,4364,2,6820
11184,4360,2,6824
11184,4356,2,6828
11184,4352,2,6832
11184,4348,2,6836
11184,4344,2,6840
11184,4340,2,6844
11184,4332,2,6852
11184,4328,2,6856
11184,4324,2,6860
11184,4320,2,6864
11184,4316,2,6868
11184,4312,2,6872
11184,4308,2,6876
11184,4304,2,6880
11184,4300,2,6884
11184,4296,2,6888
11184,4292,2,6892
11184,4288,2,6896
11184,4284,2,6900
11184,4280,2,6904
11184,4276,2,6908
11184,4272,2,6912
11184,4268,2,6916
11184,4264,2,6920
11184,4260,2,6924
11184,4256,2,6928
11184,4248,2,6936
11184,4244,2,6940
11184,4240,2,6944
11184,4236,2,6948
11184,4232,2,6952
11184,4228,2,6956
11184,4224,2,6960
11184,4220,2,6964
11184,4216,2,6968
11184,4212,2,6972
11184,4208,2,6976
11184,4204,2,6980
11184,4200,2,6984
11184,4196,2,6988
11184,4192,2,6992
11184,4188,2,6996
11184,4184,2,7000
11184,4180,2,7004
11184,4176,2,7008
11184,4172,2,7012
11184,4168,2,7016
11184,4160,2,7024
11184,4156,2,7028
11184,4152,2,7032
11184,4152,2,7032
11184,4148,2,7036
11184,4144,2,7040
11184,4136,2,7048
11184,4132,2,7052
11184,4128,2,7056
11184,4124,2,7060
11184,4120,2,7064
11184,4116,2,7068
11184,4112,2,7072
11184,4108,2,7076
11184,4104,2,7080
11184,4100,2,7084
11184,4096,2,7088
11184,4092,2,7092
11184,4088,2,7096
11184,4084,2,7100
11184,4080,2,7104
11184,4076,2,7108
11184,4072,2,7112
11184,4068,2,7116
11184,4064,2,7120
11184,4060,2,7124
11184,4056,2,7128
11184,4052,2,7132
11184,4044,2,7140
11184,4040,2,7144
11184,4036,2,7148
11184,4032,2,7152
11184,4028,2,7156
11184,4024,2,7160
11184,4020,2,7164
11184,4016,2,7168
11184,4012,2,7172
11184,4008,2,7176
11184,4004,2,7180
11184,4000,2,7184
11184,3996,2,7188
11184,3992,2,7192
11184,3988,2,7196
11184,3984,2,7200
11184,3980,2,7204
11184,3976,2,7208
11184,3972,2,7212
11184,3964,2,7220
11184,3960,2,7224
