Date_time,CPU,Memory_Bytes,Disk_Usage,,Date_and_time
1629683302,6.56115E+11,471502848,245608,,6550
1629683304,6.56178E+11,471605248,245612,,6552
1629683305,6.56226E+11,471269376,245616,,6553
1629683306,6.56273E+11,471527424,245624,,6554
1629683307,6.56321E+11,471384064,245628,,6555
1629683308,6.56381E+11,471433216,245636,,6556
1629683309,6.56427E+11,471425024,245640,,6557
1629683311,6.56471E+11,471343104,245644,,6559
1629683312,6.56518E+11,471388160,245652,,6560
1629683313,6.56564E+11,471392256,245652,,6561
1629683314,6.56609E+11,471298048,245660,,6562
1629683315,6.56656E+11,471584768,245664,,6563
1629683317,6.56704E+11,471728128,245668,,6565
1629683318,6.56763E+11,471474176,245676,,6566
1629683319,6.56806E+11,471621632,245680,,6567
1629683320,6.56848E+11,471523328,245684,,6568
1629683321,6.56892E+11,471416832,245692,,6569
1629683323,6.56951E+11,471408640,245696,,6571
1629683324,6.56991E+11,471498752,245700,,6572
1629683325,6.57033E+11,471666688,245704,,6573
1629683326,6.57074E+11,471474176,245708,,6574
1629683327,6.57117E+11,471576576,245716,,6575
1629683329,6.57174E+11,471564288,245720,,6577
1629683330,6.57213E+11,471707648,245724,,6578
1629683331,6.57256E+11,471527424,245728,,6579
1629683332,6.57296E+11,471879680,245732,,6580
1629683334,6.57351E+11,471707648,245736,,6582
1629683335,6.57392E+11,471515136,245740,,6583
1629683336,6.57431E+11,471511040,245744,,6584
1629683337,6.57475E+11,471670784,245752,,6585
1629683338,6.57531E+11,471629824,245756,,6586
1629683339,6.57573E+11,471580672,245760,,6587
1629683341,6.57616E+11,471793664,245764,,6589
1629683342,6.57658E+11,471859200,245768,,6590
1629683343,6.57716E+11,471670784,245776,,6591
1629683344,6.57758E+11,471998464,245780,,6592
1629683346,6.57802E+11,471842816,245784,,6594
1629683347,6.57841E+11,471711744,245788,,6595
1629683348,6.57897E+11,471638016,245792,,6596
1629683349,6.57941E+11,471703552,245800,,6597
1629683350,6.57984E+11,471793664,245804,,6598
1629683352,6.58026E+11,471801856,245808,,6600
1629683353,6.58082E+11,471683072,245812,,6601
1629683354,6.58126E+11,471650304,245820,,6602
1629683355,6.58172E+11,471715840,245824,,6603
1629683356,6.58215E+11,471818240,245828,,6604
1629683358,6.5826E+11,471834624,245836,,6606
1629683359,6.58319E+11,471814144,245840,,6607
1629683360,6.58363E+11,471638016,245844,,6608
1629683361,6.58408E+11,471785472,245852,,6609
1629683362,6.58449E+11,471883776,245856,,6610
1629683364,6.58507E+11,471588864,245860,,6612
1629683365,6.58553E+11,471588864,245868,,6613
1629683366,6.58595E+11,471732224,245872,,6614
1629683367,6.58638E+11,471887872,245876,,6615
1629683368,6.58692E+11,471781376,245880,,6616
1629683370,6.58735E+11,471871488,245888,,6618
1629683371,6.58781E+11,471781376,245892,,6619
1629683372,6.58825E+11,471875584,245896,,6620
1629683373,6.58879E+11,471842816,245900,,6621
1629683374,6.58919E+11,471875584,245904,,6622
1629683376,6.58966E+11,471961600,245908,,6624
