Date_time,CPU,Memory_Bytes,Disk_Usage,,Ref_Date_time
1629286568,1.98E+13,2493059072,70428,,6998
1629286570,1.98E+13,2537672704,70432,,7000
1629286571,1.98E+13,2493382656,70436,,7001
1629286572,1.98E+13,2493005824,70440,,7002
1629286573,1.98E+13,2493026304,70444,,7003
1629286574,1.98E+13,2493296640,70448,,7004
1629286575,1.98E+13,2493071360,70456,,7005
1629286577,1.98E+13,2493014016,70460,,7007
1629286578,1.98E+13,2493038592,70464,,7008
1629286579,1.98E+13,2493276160,70468,,7009
1629286580,1.98E+13,2575138816,70472,,7010
1629286581,1.98E+13,2493259776,70476,,7011
1629286582,1.98E+13,2493222912,70480,,7012
1629286584,1.98E+13,2493308928,70488,,7014
1629286585,1.98E+13,2493173760,70492,,7015
1629286586,1.98E+13,2493263872,70496,,7016
1629286587,1.98E+13,2493313024,70500,,7017
1629286588,1.98E+13,2493247488,70504,,7018
1629286590,1.98E+13,2528874496,70508,,7020
1629286591,1.98E+13,2493407232,70512,,7021
1629286592,1.98E+13,2563158016,70520,,7022
1629286593,1.98E+13,2493292544,70524,,7023
1629286594,1.98E+13,2493358080,70528,,7024
1629286595,1.98E+13,2493313024,70532,,7025
1629286597,1.98E+13,2493296640,70536,,7027
1629286598,1.98E+13,2493308928,70540,,7028
1629286599,1.98E+13,2493448192,70544,,7029
1629286600,1.98E+13,2574430208,70548,,7030
1629286601,1.98E+13,2493435904,70556,,7031
1629286602,1.98E+13,2493538304,70560,,7032
1629286604,1.98E+13,2493370368,70564,,7034
1629286605,1.98E+13,2493374464,70568,,7035
1629286606,1.98E+13,2493177856,70572,,7036
1629286607,1.98E+13,2493300736,70576,,7037
1629286608,1.98E+13,2493485056,70584,,7038
1629286610,1.98E+13,2529091584,70588,,7040
1629286611,1.98E+13,2493333504,70592,,7041
1629286612,1.98E+13,2493513728,70596,,7042
1629286613,1.98E+13,2493419520,70600,,7043
1629286614,1.98E+13,2493308928,70604,,7044
1629286615,1.98E+13,2493390848,70612,,7045
1629286617,1.98E+13,2493456384,70616,,7047
1629286618,1.98E+13,2493378560,70620,,7048
1629286619,1.98E+13,2493259776,70624,,7049
1629286620,1.98E+13,2578726912,70628,,7050
1629286621,1.98E+13,2501632000,70632,,7051
1629286622,1.98E+13,2493673472,70636,,7052
1629286624,1.98E+13,2493329408,70644,,7054
1629286625,1.98E+13,2493349888,70648,,7055
1629286626,1.98E+13,2493300736,70652,,7056
1629286627,1.98E+13,2493317120,70656,,7057
1629286628,1.98E+13,2493366272,70660,,7058
1629286630,1.98E+13,2529153024,70664,,7060
1629286631,1.98E+13,2493186048,70668,,7061
1629286632,1.98E+13,2493349888,70672,,7062
1629286633,1.98E+13,2493476864,70676,,7063
1629286634,1.98E+13,2493390848,70684,,7064
1629286635,1.98E+13,2493292544,70688,,7065
1629286637,1.98E+13,2493239296,70692,,7067
1629286638,1.98E+13,2493321216,70696,,7068
1629286639,1.98E+13,2493366272,70700,,7069
1629286640,1.98E+13,2576445440,70704,,7070
1629286641,1.98E+13,2493501440,70708,,7071
1629286643,1.98E+13,2493652992,70712,,7073
1629286644,1.98E+13,2493464576,70720,,7074
1629286645,1.98E+13,2493538304,70724,,7075
1629286646,1.98E+13,2493485056,70728,,7076
1629286647,1.98E+13,2493435904,70732,,7077
1629286648,1.98E+13,2493587456,70736,,7078
1629286650,1.98E+13,2532626432,70740,,7080
1629286651,1.98E+13,2493509632,70744,,7081
1629286652,1.98E+13,2564583424,70748,,7082
1629286653,1.98E+13,2493657088,70756,,7083
1629286654,1.98E+13,2493517824,70760,,7084
1629286655,1.98E+13,2493616128,70764,,7085
1629286657,1.98E+13,2493444096,70768,,7087
1629286658,1.98E+13,2493472768,70772,,7088
1629286659,1.98E+13,2493546496,70776,,7089
1629286660,1.98E+13,2582835200,70780,,7090
1629286661,1.98E+13,2493579264,70788,,7091
1629286662,1.98E+13,2493759488,70792,,7092
1629286664,1.98E+13,2493534208,70796,,7094
1629286665,1.98E+13,2493534208,70800,,7095
1629286666,1.98E+13,2493579264,70804,,7096
1629286667,1.98E+13,2493497344,70808,,7097
1629286668,1.98E+13,2493591552,70812,,7098
1629286670,1.98E+13,2528743424,70820,,7100
1629286671,1.98E+13,2493530112,70824,,7101
1629286672,1.98E+13,2493513728,70828,,7102
1629286673,1.98E+13,2493616128,70832,,7103
1629286674,1.98E+13,2493648896,70836,,7104
1629286675,1.98E+13,2493583360,70840,,7105
1629286677,1.98E+13,2493636608,70844,,7107
1629286678,1.98E+13,2493693952,70852,,7108
1629286679,1.98E+13,2493505536,70856,,7109
1629286680,1.98E+13,2575622144,70860,,7110
1629286681,1.98E+13,2500177920,70864,,7111
1629286682,1.98E+13,2493689856,70868,,7112
1629286684,1.98E+13,2493825024,70876,,7114
1629286685,1.98E+13,2493739008,70880,,7115
1629286686,1.98E+13,2493566976,70884,,7116
1629286687,1.98E+13,2493788160,70888,,7117
1629286688,1.98E+13,2493501440,70892,,7118
1629286689,1.98E+13,2528010240,70896,,7119
1629286691,1.98E+13,2493517824,70900,,7121
1629286692,1.98E+13,2493591552,70908,,7122
1629286693,1.98E+13,2493448192,70912,,7123
1629286694,1.98E+13,2493751296,70916,,7124
1629286695,1.98E+13,2493763584,70920,,7125
1629286697,1.98E+13,2493726720,70924,,7127
1629286698,1.98E+13,2493698048,70928,,7128
1629286699,1.98E+13,2493681664,70936,,7129
1629286700,1.98E+13,2571108352,70940,,7130
1629286701,1.98E+13,2493935616,70944,,7131
1629286702,1.98E+13,2493796352,70948,,7132
1629286704,1.98E+13,2493853696,70952,,7134
1629286705,1.98E+13,2493775872,70956,,7135
1629286706,1.98E+13,2493743104,70960,,7136
1629286707,1.98E+13,2493669376,70964,,7137
1629286708,1.98E+13,2493808640,70968,,7138
1629286709,1.98E+13,2523324416,70976,,7139
1629286711,1.98E+13,2493652992,70980,,7141
1629286712,1.98E+13,2561224704,70984,,7142
1629286713,1.98E+13,2493874176,70988,,7143
1629286714,1.98E+13,2493710336,70992,,7144
1629286715,1.98E+13,2493857792,70996,,7145
1629286716,1.98E+13,2493755392,71000,,7146
1629286718,1.98E+13,2493681664,71008,,7148
1629286719,1.98E+13,2494042112,71012,,7149
1629286720,1.99E+13,2569957376,71016,,7150
1629286721,1.99E+13,2493779968,71020,,7151
1629286722,1.99E+13,2493792256,71024,,7152
1629286723,1.99E+13,2493726720,71028,,7153
1629286725,1.99E+13,2493743104,71036,,7155
1629286726,1.99E+13,2493693952,71040,,7156
1629286727,1.99E+13,2493841408,71044,,7157
1629286728,1.99E+13,2493820928,71048,,7158
1629286729,1.99E+13,2509312000,71052,,7159
1629286731,1.99E+13,2493726720,71056,,7161
1629286732,1.99E+13,2493820928,71064,,7162
1629286733,1.99E+13,2493833216,71068,,7163
1629286734,1.99E+13,2493906944,71072,,7164
1629286735,1.99E+13,2493829120,71076,,7165
1629286736,1.99E+13,2493997056,71080,,7166
1629286738,1.99E+13,2493882368,71088,,7168
1629286739,1.99E+13,2493984768,71092,,7169
1629286740,1.99E+13,2565439488,71096,,7170
1629286741,1.99E+13,2494189568,71100,,7171
1629286742,1.99E+13,2577657856,71104,,7172
1629286743,1.99E+13,2493939712,71108,,7173
1629286745,1.99E+13,2493894656,71112,,7175
1629286746,1.99E+13,2494070784,71116,,7176
1629286747,1.99E+13,2494013440,71120,,7177
1629286748,1.99E+13,2493956096,71128,,7178
1629286749,1.99E+13,2504757248,71132,,7179
1629286750,1.99E+13,2494152704,71136,,7180
1629286752,1.99E+13,2493857792,71140,,7182
1629286753,1.99E+13,2493837312,71144,,7183
1629286754,1.99E+13,2494185472,71148,,7184
1629286755,1.99E+13,2494062592,71152,,7185
1629286756,1.99E+13,2493902848,71156,,7186
1629286757,1.99E+13,2494038016,71164,,7187
1629286759,1.99E+13,2493853696,71168,,7189
1629286760,1.99E+13,2564739072,71172,,7190
1629286761,1.99E+13,2493882368,71176,,7191
1629286762,1.99E+13,2494193664,71180,,7192
1629286763,1.99E+13,2493984768,71184,,7193
1629286764,1.99E+13,2494136320,71192,,7194
1629286766,1.99E+13,2494050304,71196,,7196
1629286767,1.99E+13,2495021056,71528,,7197
